BestSquatKg,BestBenchKg
162.5,92.5
,80.5
,100.0
,
,104.33
227.5,192.5
86.18,47.63
190.0,142.5
142.88,106.59
,140.0
172.5,117.5
75.0,45.0
204.12,122.47
125.0,85.0
240.0,160.0
,
140.0,100.0
77.5,37.5
,
202.5,
,
,150.0
225.0,160.0
135.0,87.5
150.0,105.0
,
92.99,61.23
190.51,136.08
197.31,136.08
102.06,68.04
97.5,72.5
120.0,57.5
158.76,95.25
170.0,125.0
,
151.95,113.4
175.0,122.5
,50.0
240.0,130.0
,150.0
129.27,61.23
95.0,62.5
180.0,95.0
307.5,212.5
149.69,102.06
175.0,105.0
100.0,47.5
127.01,104.33
156.49,111.13
120.2,58.97
,120.0
225.0,117.5
215.46,172.37
235.0,115.0
135.0,90.0
204.12,154.22
102.06,113.4
230.0,122.5
,70.0
115.67,77.11
217.72,120.2
,142.5
240.0,142.5
,162.5
151.95,90.72
,80.0
149.69,102.06
,75.0
260.0,200.0
172.5,122.5
,86.18
201.85,124.74
125.0,95.0
260.0,165.0
107.5,50.0
237.5,155.0
140.0,65.0
215.0,120.0
,142.5
145.0,110.0
,
135.0,70.0
205.0,145.0
204.12,129.27
254.01,149.69
150.0,107.5
217.5,152.5
172.5,127.5
151.95,122.47
120.0,82.5
,90.0
235.0,192.5
140.61,92.99
229.1,133.8
215.0,160.0
,117.5
185.0,112.5
115.0,60.0
108.86,72.57
230.0,165.0
,160.0
,133.81
250.0,177.5
110.0,70.0
145.0,70.0
317.5,192.5
42.5,62.5
,132.5
,204.12
240.0,192.5
244.94,156.49
,140.0
172.5,112.5
185.0,130.0
,62.5
120.0,65.0
,82.5
163.29,97.52
152.5,-77.5
,177.5
,
79.38,52.16
147.42,102.06
105.0,50.0
77.5,45.0
299.37,249.48
115.0,60.0
,
,
102.5,55.0
,
110.0,72.5
107.5,65.0
80.0,42.5
195.04,120.2
90.0,60.0
72.5,45.0
,
80.0,52.5
250.0,160.0
197.5,132.5
215.0,105.0
145.15,83.91
190.0,130.0
106.59,70.31
217.5,135.0
220.0,175.0
204.12,131.54
,160.0
208.65,117.93
167.83,90.72
250.0,160.0
260.0,155.0
,
187.5,125.0
210.0,130.0
149.69,117.93
172.37,86.18
,140.0
130.0,95.0
85.0,45.0
210.0,115.0
,
140.0,95.0
106.59,63.5
,206.38
,112.5
,282.5
250.0,195.0
,70.0
340.0,270.0
150.0,110.0
82.5,40.0
90.0,40.0
80.0,62.5
230.0,135.0
65.0,27.5
130.0,80.0
,
,
192.78,136.08
202.5,107.5
,155.0
100.0,52.5
,55.0
332.5,
175.0,127.5
177.5,110.0
135.0,65.0
160.0,120.0
200.0,105.0
190.0,130.0
55.0,35.0
112.5,57.5
155.0,102.5
113.5,60.0
142.5,145.0
,52.5
182.5,137.5
385.0,182.5
,205.0
210.0,125.0
,
200.0,120.0
222.5,150.0
161.0,138.3
,215.0
199.58,106.59
337.5,255.0
402.5,267.5
,105.0
130.0,135.0
150.0,95.0
227.5,135.0
110.0,72.5
140.0,87.5
255.0,142.5
85.0,52.5
155.0,
,330.0
200.0,95.0
,
,77.11
240.0,140.0
149.69,95.25
158.76,106.59
85.0,55.0
162.5,70.0
125.0,80.0
182.5,130.0
100.0,82.5
79.38,56.7
190.0,95.0
165.56,102.06
147.5,80.0
150.0,
,120.0
,185.0
172.5,155.0
95.0,47.5
,
142.88,86.18
205.0,135.0
150.0,95.0
245.0,170.0
,
170.0,90.0
190.51,131.54
,115.0
190.0,140.0
135.0,67.5
,
217.5,165.0
282.5,210.0
85.0,65.0
240.0,145.0
130.0,67.5
195.0,152.5
115.67,68.04
102.5,60.0
,
,
110.0,50.0
87.5,62.5
222.5,142.5
125.0,60.0
215.0,172.5
255.0,185.0
133.5,75.0
,
,320.0
177.5,117.5
222.5,132.5
77.11,52.16
,182.5
87.5,50.0
