BestSquatKg,BestBenchKg
190.0,145.0
245.0,170.0
183.7,117.93
113.4,68.04
200.0,105.0
322.5,200.0
111.13,54.43
158.76,92.99
262.5,150.0
142.5,97.5
200.0,140.0
204.12,108.86
115.0,100.0
157.5,77.5
167.83,77.11
130.0,85.0
170.0,122.5
115.0,65.0
235.0,142.5
342.5,190.0
170.0,112.5
220.0,122.5
320.0,197.5
272.5,197.5
225.0,155.0
215.0,137.5
100.0,55.0
182.5,130.0
272.16,140.61
280.0,217.5
227.5,162.5
47.63,38.56
220.0,132.5
135.0,80.0
95.0,60.0
124.74,74.84
267.5,177.5
170.0,70.0
342.5,182.5
130.0,55.0
210.0,125.0
70.0,50.0
160.0,165.0
265.35,192.78
204.12,111.13
230.0,127.5
363.5,210.0
127.5,72.5
337.5,202.5
110.0,60.0
142.88,131.54
172.37,74.84
120.0,75.0
182.5,160.0
162.5,110.0
90.0,57.5
280.0,160.0
125.0,57.5
110.0,62.5
156.49,79.38
220.0,142.5
130.0,62.5
187.5,137.5
102.5,67.5
305.0,162.5
65.0,37.5
131.54,65.77
185.0,122.5
206.38,124.74
120.2,79.38
212.5,160.0
215.0,150.0
90.0,52.5
202.5,132.5
237.5,137.5
225.0,120.0
112.5,70.0
138.35,79.38
205.0,125.0
242.5,167.5
137.5,110.0
250.0,170.0
369.68,219.99
100.0,57.5
310.0,220.0
272.5,165.0
230.0,135.0
227.5,165.0
192.78,136.08
122.5,65.0
82.5,35.0
242.5,155.0
102.5,72.5
215.0,142.5
207.5,130.0
205.0,125.0
147.42,68.04
160.0,90.0
250.0,162.5
199.58,102.06
107.5,82.5
120.0,77.5
60.0,85.0
319.78,233.6
122.5,60.0
224.98,137.44
140.0,90.0
111.13,56.7
107.5,50.0
95.0,42.5
215.0,125.0
176.9,97.52
187.5,147.5
162.5,95.0
102.5,57.5
70.0,45.0
92.99,74.84
185.0,130.0
226.8,147.42
156.49,133.81
122.47,81.65
102.5,55.0
120.2,65.77
222.5,145.0
204.12,88.45
227.5,132.5
181.44,88.45
97.5,52.5
220.0,185.0
207.5,137.5
67.5,32.5
156.49,95.25
170.0,165.0
115.0,50.0
115.7,47.6
332.5,187.5
205.0,127.5
227.5,135.0
165.0,110.0
255.0,165.0
230.0,150.0
453.59,328.85
250.0,152.5
102.06,56.7
137.5,82.5
142.5,70.0
310.0,145.0
167.5,95.0
152.5,82.5
102.5,70.0
240.4,163.3
322.05,192.78
172.37,88.45
125.0,65.0
185.0,137.5
287.5,185.0
136.08,92.99
200.0,145.0
227.5,105.0
255.0,170.0
245.0,182.5
225.0,150.0
180.0,122.5
174.63,124.74
135.0,85.0
135.0,70.0
195.0,132.5
167.83,124.74
152.5,92.5
157.5,82.5
222.26,129.27
213.19,131.54
125.0,65.0
225.0,122.5
257.5,170.0
227.5,135.0
136.08,72.57
147.5,82.5
240.4,226.8
115.0,72.5
156.49,102.06
204.12,113.4
130.0,70.0
97.5,55.0
180.0,140.0
117.93,61.23
176.9,124.74
185.0,152.5
170.0,225.0
188.24,83.91
217.5,95.0
192.5,145.0
87.5,55.0
160.0,102.5
97.5,72.5
157.5,102.5
181.44,117.93
257.5,170.0
195.0,165.0
142.5,67.5
170.0,120.0
105.0,72.5
63.5,40.82
172.5,108.0
157.5,97.5
217.72,129.27
106.59,54.43
80.0,50.5
331.12,204.12
250.0,205.0
158.76,97.52
207.5,122.5
138.35,106.59
175.0,132.5
137.5,82.5
145.0,115.0
230.0,150.0
176.9,88.45
130.0,52.5
250.0,180.0
170.1,117.93
72.5,55.0
135.0,60.0
247.5,152.5
160.0,82.5
190.0,170.0
97.5,67.5
120.2,83.91
127.5,60.0
301.64,158.76
170.0,92.5
199.58,136.08
405.0,320.0
295.0,250.0
192.5,142.5
187.5,130.0
290.0,202.5
248.5,190.0
120.0,87.5
362.87,256.28
207.5,120.0
158.76,99.79
215.0,130.0
102.06,63.5
325.0,140.0
115.0,57.5
97.52,58.97
235.0,142.5
174.63,92.99
210.0,145.0
260.0,152.5
182.5,132.5
151.95,81.65
60.0,35.0
245.0,125.0
180.0,105.0
115.67,88.45
113.4,65.77
145.15,92.99
136.08,90.72
107.5,57.5
200.0,147.5
154.22,74.84
147.5,95.0
115.7,47.6
213.19,127.01
130.0,75.0
275.0,165.0
57.5,47.5
125.5,80.0
160.0,135.0
108.86,72.57
270.0,210.0
145.0,105.0
205.0,105.0
127.5,67.5
107.5,40.0
217.72,113.4
160.0,120.0
205.0,135.0
127.5,85.0
187.5,110.0
260.82,167.83
104.33,54.43
342.5,182.5
107.5,75.0
120.0,72.5
240.0,137.5
95.0,45.0
225.0,147.5
240.4,149.69
92.5,50.0
212.5,137.5
65.0,45.0
105.0,47.5
242.5,120.0
217.72,136.08
170.1,120.2
192.78,108.86
250.0,130.0
107.5,57.5
142.5,92.5
183.7,97.52
229.06,181.44
115.0,82.5
145.15,92.99
192.5,112.5
250.0,172.5
182.5,117.5
100.0,72.5
115.0,87.5
80.0,42.5
60.0,65.0
190.0,130.0
75.0,42.5
